date,text
"June 25, 1862","Headquarters, Department of the Gulf, New Orleans, June 25th, 1862
Mesdames Slocumb and Urquhart
Mesdames: I have the pleasure to inform you that my necessities which caused the request for permission to use your house during your absence this summer have been relieved. I have taken the house of General Twiggs, late of the United States Army, for quarters.
Inclined never on slight causes to use the power entrusted to me to grieve even sentiments only entitled to respect from the courage and lady-like propriety of manner in which they are averred, it is gratifying to be enabled to yield to the appeal you made for favor and protection by the United States.
Yours shall be the solitary exception to the General Rule adopted -- that they who ask protection must take upon themselves corresponding obligations or do an equal favor to the Government.
I have an aged mother at home, who, like you, might request the inviolability of hearthstone and roof-tree from the presence of a stranger. For her sake you shall have the pass you ask, which is sent herewith.
As I did myself the honor to say personally, you may leave the city with no fear that your house will be interfered with by any exercise of military right, but will be safe under the laws of the United States.
Trusting that the inexorable logic of events will convict you of wrong toward your country when all else has failed. I remain,
Your Obedient Servant,
Benj. F. Butler, Major General Comdg."
"June 24, 1862","Hd. Qts. Dept. of the Gulf, New Orleans, June 24, 1862
Mr. H. M. Palfrey
Sir: You will please pay all bills that are necessary and proper for fitting up Gen. Twiggs' house for Maj. Gen. Butler's occupancy, and when it is all finished present the vouchers at these Head Quarters and the account will be settled.
By order of Maj. Gen. Butler,
R. S. Davis, Capt. & A. A. A. G."
"June 28, 1862","Palfrey & Co's Real Estate, Stock, Auction & Mortgage Loan Office,
No. 43 Carondelet Street, New Orleans, June 28, 1862
A. J. Butler, Esq.
Sir: I have just received your note of this date. My instructions from General Butler are to collect some rent and notes due to General Twiggs, and to pay some bills of furniture for General Twiggs' House in Prystania Street, after said bills are approved and signed by him or by his orders.
I have nothing to do with purchasing any furniture. I expect to collect $500 or $1000 for General Twiggs on Monday or Tuesday, but may be disappointed. I have already paid $216 out of my private funds for matting.
Your obedient servant, H. W. Palfrey
P. S. I send you copy of General Butler's orders."
"June 26, 1862","Headquarters Dept. of the Gulf, New Orleans, June 26, 1862
Special Order No. 138
H. W. Palfrey, the former agent of the estate and property of Gen. D. E. Twiggs, is hereby appointed custodian of said property, and will hold rent and take care of the same till further orders. He will pay the necessary bills of expenses of fitting up said Twiggs houses in Prystania Str., upon approval of the bills at these Headquarters, and appropriate thereto such sums or personal property as may be sufficient for that purpose.
By Order of Maj. Gen. Butler
R. S. Davis, Capt. A. A. A. G."
"June 26, 1862","Headquarters Department of the Gulf, New Orleans, June 26, 1862
General Orders No. 46
All the property in New Orleans belonging to Gen. D. E. Twiggs, and of his minor son the income of which he has received under the charge of his agent, H. W. Palfrey, Esq., consisting of real estate, bonds, notes of hand, Treasury notes of the United States, slaves, household furniture, etc., is hereby sequestered, to be held to await the action of the United States Government.
By command of Major-General Butler
R. S. Davis, Capt. and A. A. A. G."
"June 26, 1862","Head Quarters Dept. of the Gulf, New Orleans, June 26, 1862
Hon. Salmon P. Chase, Secretary of the Treasury
Sir: I send herewith the copper plates for printing Confederate States Treasury notes. I hope by this capture I have dangered their exchequer. The plates are, however, pretty well worn.
I also enclose a letter showing the determination of Mr. Memminger, C. S. Treasurer, in regard to the Specie of the New Orleans Banks.
By an order I have rendered it impossible for them to do business out of the state. I have the honor to be
Very Respt. Yours,
Benj. F. Butler, Maj. Gen. Comdg.
Confederate States of America, Treasury Department, Richmond, June 5, '62
Messrs. Wood & Brothers, Agents of Banks of
New Orleans
Sirs: The coin of the Banks of New Orleans was seized by the Government to prevent it from falling into the hands of the public enemy. It has been deposited in a place of security under the charge of the Government, and it is not intended to interfere with the right of property in the Banks further than to insure its safe custody.
They may proceed to conduct their business in the Confederate States upon this deposit just as though it were in their own vaults.
Very Respectfully, C. G. Memminger, Sect. of Treas."
"June 26, 1862","Headquarters, Department of the Gulf, New Orleans, June 26th, 1862
To General Dix
My dear General: When I read your decision and patriotic order as Secretary of Treasury to ""shoot on the spot"" whomsoever should attempt to haul down the American Flag, my heart bounded with joy. It was the first bold stroke of the Union under the past administration.
It gives me therefore redoubled pleasure more directly to testify my admiration by sending you the identical flag of the Revenue Cutter ""McClellan,"" which was the subject of that order, together with the Confederate flag which was hoisted by traitor hands in its place.
David Ritchie, a young Scotch Sailor on board that boat, remaining true to his adopted country when so many of her sons proved recreant, went on board the ""McClellan"" when she was being burnt by the Confederates and brought off the Flags.
His affidavit which accompanies this will give the detail of facts. I doubt not the Secretary of the Treasury will permit you to retain the flags, which could not be in better hands. Believe me, General,
Most truly Yours
Benj. F. Butler, Maj. Gen. Comdg."
"June 27, 1862","Headquarters, Department of the Gulf, New Orleans, June 27, 1862
The President
Sir: I have the honor to send you with this note three swords with their equipments, formerly belonging to David E. Twiggs, late Brevet-Major General in the army of the United States.
They are each presentation swords. One given him by resolution of Congress which bears the following legend:
""Presented by the President of the United States agreeable to a resolution of Congress to Brig. Gen'l. David E. Twiggs, in testimony of the high sense entertained by Congress of his gallantry and good conduct in storming Monterey.
Resolution approved March 2nd, 1847.""
Another by the State of Georgia, and bears the following legend and inscription:
""Constitution
The State of Georgia to Major General David E. Twiggs, U. S. A., as a tribute to his gallantry in Mexico 1847. Palo Alto, Resaca de la Palma, Monterey, Cerro Gorde, Chapultepec, Molino del Rey, Mexico.""
The third by his native City, Augusta, Ga., and has the following legend: ""Texas, 8th and 9th of May 1846, Monterey, Vera Cruz, Cerro Gorde. To Gen'l. David E. Twigg from the citizens of Augusta, Georgia.""
General Twiggs left these swords with a young woman on the evening before he fled from New Orleans, and in his flight on the day of the approach of the fleet, he wrote in his carriage while en route this extraordinary paper.
""I leave my swords to Miss Rowena Florence, and box of silver.
New Orleans, 25th, April, 1862
David E. Twiggs""
This paper was claimed as a deed of gift of these very valuable weapons by the young person named, but as she had neglected to inform her father of this singular donatio causa fugae, and as the girl's mother caused them to be given to a negro to be sent to Gen'l. Twiggs' house, and as they were found in possession of this negro, I venture to interfere with this testamentary disposition.
A more lamentable instance of the degradation to which this rebellion has reduced its votaries can hardly be imagined.
Swords given to a General for courage and good conduct in the armies of the Union as tokens of admiration by his fellow-citizens and the gratitude of a State and Nation, voluntarily bequeathed for safe-keeping to a woman as a more proper custodian than himself, by that same General, when flying at the approach of the Armies of that country which he had renounced and betrayed, at last find a depository with a negro, for the sake of enslaving whom even the double crime of treachery and rebellion had been consummated.
Now that the weapon given by the United States is returned to the Executive, and the others placed at his disposal, might I take leave to suggest a possible disposition of them.
Might not the first be presented to some Officer as a token of appreciation of loyalty and devotion to the country?
The qualities of courage and good conduct on the battle-field have never been found wanting in our armies, but loyalty and entire devotion to the country have failed in so many examples of which General Twiggs is a shining one, that some token of respect for those qualities bestowed in this manner, might not be inappropriate.
The sword from the State of Georgia might be deposited in the Library of West Point, with an appropriate inscription, as a perpetual memento to the youths there, how worse than useless are all education and military training, even when allied to gallantry and courage, if heartfelt patriotism and undying fidelity to the Constitution and the Flag are wanting.
That given by the City of Augusta might be deposited in the Patent Office as a warning against the folly and uselessness of such an invention as ""Secession.""
Pardon the freedom of these suggestions and believe me most faithfully,
Your obedient Servant,
Benj. F. Butler, Maj. General Commanding"
"June 27, 1862","Headquarters, Department of the Gulf, New Orleans, June 27th, 1862
Hon. Edwin M. Stanton, Secretary of War
Sir: Enclosed will be found several letters addressed to ""General David E. Twiggs, late of the U. S. Army,"" by his son-in-law, Col. Myers, late of the army and now Quartermaster General, I believe, of the Confederate State Government.
The letter of Nov. 12th, 1860, which encloses the order for General Twiggs to take command in Texas, shows that at
that early day he was contemplating the treason he has since acted, and that he sought the very place so as to be in position to do the utmost mischief.
The others of dates May 16th, 22nd, and 26th, disclose the reasons of his appointment as ""Provisional General"" by the rebel Government, and his declination of the position of Major General.
All these were found in his house, which I have taken possession of, and with its furniture have had put in order for quarters for myself and a portion of my staff.
I have caused all the property here which General Twiggs owned or of which he received the income, to be sequestered, and the rents, after paying expenses, to be held to await the action of the Government of the United States. I have the honor to be,
Your obedient Servant,
Benjamin F. Butler, Major General Comdg."
"June 28, 1862","New York, June 28th, 1862
Major General Butler
My dear General: Will you allow me to add my congratulations to those of your many friends on your late successes. I have watched them with deep interest, and done all I could to cooperate by a little scribbling and newspaper censorship on my own hook.
I believed in your star when it was a little under a cloud of detraction, and I enjoy immeasurably the display of its fuller light. If I can serve you in any way here, pray use me. I will with pleasure attend to any wish or commission. I have been a thousand times tempted to give up everything here and join you, and have used every exertion to get a leave of absence to do so, in vain. I was in Boston day before yesterday, and found Fay very busy in your matters. I envied him for having it in his power to serve you. He is a splendid fellow. In the cars, hotels, and in fact everywhere, the name of Butler was in all, and in the churches. My old Uncle, Captain Bailey, U. S. N., was greatly pleased with you. He is a staunch old fellow and loves a row.
Be so kind as to present me kindly to the gentlemen of your military family.
Very respectfully, and truly yours,
J. Bailey Myers"
